Date,PRICE
01-10-2009,15882.39
01-11-2009,17056.8
01-12-2009,17159.42
01-01-2010,20203.8
01-02-2010,20321.09
01-03-2010,20835
01-04-2010,16692.92
01-05-2010,18024.2
01-06-2010,18744.62
01-07-2010,18269.81
01-08-2010,18457.2
01-09-2010,19055.63
01-10-2010,19474.23
01-11-2010,20140.21
01-12-2010,20506.3
01-01-2011,27597.8
01-02-2011,28118.7
01-03-2011,27853.95
01-04-2011,21469.78
01-05-2011,22129.5
01-06-2011,22213.85
01-07-2011,22627.4
01-08-2011,25877.92
01-09-2011,27486.8
01-10-2011,26667.5
01-11-2011,28562.92
01-12-2011,28062.96
01-01-2012,30520.19
01-02-2012,29963.48
01-03-2012,29513.75
01-04-2012,28562.73
01-05-2012,28830.96
01-06-2012,29818.62
01-07-2012,29468.46
01-08-2012,30179.79
01-09-2012,31672.83
01-10-2012,31055.63
01-11-2012,31547.95
01-12-2012,30832.8
01-01-2013,29581.85
01-02-2013,30210.68
01-03-2013,29831.88
01-04-2013,27742.6
01-05-2013,26768.65
01-06-2013,27178.13
01-07-2013,26928.15
01-08-2013,30216.3
01-09-2013,30473.04
01-10-2013,30709.63
01-11-2013,30739.6
01-12-2013,29904.2
01-01-2014,27403.27
01-02-2014,27075.48
01-03-2014,26167.83
01-04-2014,29328.91
01-05-2014,28738
01-06-2014,27427.4
01-07-2014,28007.59
01-08-2014,28079.57
01-09-2014,26962.6
01-10-2014,26990.73
01-11-2014,26115
01-12-2014,26678.27
01-01-2015,25997.5
01-02-2015,28251.67
01-03-2015,28794.25
01-04-2015,26682.61
01-05-2015,27093.04
01-06-2015,26645.96
01-07-2015,25539.38
01-08-2015,25728.54
01-09-2015,26245.83
01-10-2015,26576.59
01-11-2015,25648.39
01-12-2015,25207.38
01-01-2016,28745.95
01-02-2016,29264.74
01-03-2016,28758.18
01-04-2016,28818.16
01-05-2016,29639.09
01-06-2016,29745.45
01-07-2016,30941.75
01-08-2016,31270
01-09-2016,31178
01-10-2016,30071.37
01-11-2016,29796.43
01-12-2016,27754.29
01-01-2017,29854.32
01-02-2017,30391.32
01-03-2017,30419.72
01-04-2017,29010.28
01-05-2017,28471.36
01-06-2017,28823.1
01-07-2017,28170.48
01-08-2017,28893.24
01-09-2017,29899.29
01-10-2017,29505.3
01-11-2017,29399.09
01-12-2017,28763.42
01-01-2018,32230
01-02-2018,33216.5
01-03-2018,32036.32
01-04-2018,30985.5
01-05-2018,31116.14
01-06-2018,30707.14
01-07-2018,30097.05
01-08-2018,29644.29
01-09-2018,30537.78
01-10-2018,31489.29
01-11-2018,31010.37
01-12-2018,31250.5
01-01-2019,39983.83
01-02-2019,41195.21
01-03-2019,42285.33
01-04-2019,31659.26
01-05-2019,31737.55
01-06-2019,33121.26
01-07-2019,34522.26
01-08-2019,37356.15
01-09-2019,37926.74
01-10-2019,38213.55
01-11-2019,38122.2
01-12-2019,38091.57
